%EXPOCODE  316N138_3     WHP-ID P6    DATE 050692
%Latitude    Longitude          Depth  Corr_Depth
%32 30.21 S  72 59.85 W  GPS    4640   4643
%STNNBR  12    CASTNO   1 NO. RECORDS= 2347     2
%INSTRUMENT NO. 10KN SAMPLING RATE  24.00 HZ    3
%  CTDPRS  CTDTMP  CTDSAL  CTDOXY  NUMBER  QUALT1
%    DBAR  ITS-90  PSS-78 UMOL/KG    OBS.       *
% ******* ******* ******* *******               *
% Los valores entre 1 y 7 dbar fueron replicados de los de 9 m para este ejercicio.

   751.0  4.7553 34.3380   153.6      21    2222
   753.0  4.7358 34.3376   153.1      28    2222
   755.0  4.7189 34.3383   153.2      27    2222
   757.0  4.7075 34.3420   153.2      17    2222
   759.0  4.6927 34.3422   153.0      20    2222
   761.0  4.6982 34.3393   152.4      39    2222
   763.0  4.6684 34.3470   151.3      15    2222
   765.0  4.6658 34.3451   151.0      19    2222
   767.0  4.6632 34.3471   150.3      33    2222
   769.0  4.6557 34.3473   149.2      22    2222
   771.0  4.6420 34.3505   148.2      24    2222
   773.0  4.6415 34.3499   147.3      29    2222
   775.0  4.6344 34.3512   146.6      24    2222
   777.0  4.6224 34.3551   145.8      21    2222
   779.0  4.6161 34.3539   145.0      38    2222
   781.0  4.6034 34.3555   144.1      20    2222
   783.0  4.5947 34.3564   143.8      20    2222
   785.0  4.5865 34.3566   143.9      23    2222
   787.0  4.5619 34.3580   143.7      24    2222
   789.0  4.5564 34.3565   143.3      22    2222
   791.0  4.5545 34.3577   143.0      39    2222
   793.0  4.5370 34.3635   142.6      22    2222
   795.0  4.5256 34.3628   141.9      20    2222
   797.0  4.5197 34.3631   141.2      35    2222
   799.0  4.5142 34.3638   140.3      21    2222
   801.0  4.5085 34.3652   140.0      12    2222
   803.0  4.4980 34.3677   139.5      14    2222
   805.0  4.4896 34.3666   139.4      37    2222
   807.0  4.4602 34.3645   139.4      41    2222
   809.0  4.4248 34.3638   139.3      20    2222
   811.0  4.4130 34.3645   140.1      25    2222
   813.0  4.4142 34.3629   140.5      17    2222
   815.0  4.4215 34.3684   140.4      26    2222
   817.0  4.4213 34.3692   139.8      29    2222
   819.0  4.4210 34.3698   138.6      21    2222
   821.0  4.4183 34.3715   137.6      27    2222
   823.0  4.4150 34.3718   137.3      30    2222
   825.0  4.4121 34.3714   136.6      45    2222
   827.0  4.4115 34.3731   136.1      21    2222
   829.0  4.4037 34.3748   136.0      23    2222
   831.0  4.3733 34.3740   136.5      23    2222
   833.0  4.3864 34.3712   136.2      23    2222
   835.0  4.3795 34.3781   136.3      41    2222
   837.0  4.3697 34.3771   135.8      29    2222
   839.0  4.3690 34.3794   135.6      23    2222
   841.0  4.3519 34.3808   134.6      26    2222
   843.0  4.3387 34.3796   133.8      37    2222
   845.0  4.3333 34.3807   133.0      22    2222
   847.0  4.3231 34.3856   132.6      14    2222
   849.0  4.3134 34.3854   132.6      18    2222
   851.0  4.3073 34.3847   132.2      26    2222
   853.0  4.2939 34.3869   131.8      29    2222
   855.0  4.2879 34.3879   131.2      26    2222
   857.0  4.2795 34.3900   130.5      19    2222
   859.0  4.2748 34.3907   130.2      23    2222
   861.0  4.2653 34.3928   129.9      20    2222
   863.0  4.2530 34.3934   129.3      23    2222
   865.0  4.2409 34.3937   128.9      32    2222
   867.0  4.2267 34.3958   128.3      29    2222
   869.0  4.2139 34.3969   128.3      19    2222
   871.0  4.1954 34.3972   128.2      20    2222
   873.0  4.1869 34.3961   128.2      23    2222
   875.0  4.1855 34.3960   128.4      30    2222
   877.0  4.1798 34.3958   128.9      27    2222
   879.0  4.1713 34.3970   129.0      27    2222
   881.0  4.1598 34.3980   129.0      25    2222
   883.0  4.1487 34.3979   128.8      36    2222
   885.0  4.1347 34.3982   129.0      21    2222
   887.0  4.1306 34.3976   129.0      30    2222
   889.0  4.1197 34.4008   129.2      16    2222
   891.0  4.1164 34.3993   129.1      25    2222
   893.0  4.1103 34.4002   128.9      30    2222
   895.0  4.1064 34.4009   129.0      29    2222
   897.0  4.0871 34.4031   128.9      18    2222
   899.0  4.0811 34.4013   128.9      23    2222
   901.0  4.0732 34.4011   128.7      39    2222
   903.0  4.0695 34.4018   129.1      30    2222
   905.0  4.0692 34.4023   128.9      18    2222
   907.0  4.0559 34.4048   128.7      19    2222
   909.0  4.0541 34.4034   128.3      23    2222
   911.0  4.0515 34.4049   128.1      36    2222
   913.0  4.0491 34.4056   127.9      24    2222
   915.0  4.0520 34.4072   127.5      19    2222
   917.0  4.0448 34.4102   127.2      20    2222
   919.0  4.0352 34.4075   126.5      36    2222
   921.0  4.0409 34.4093   125.9      27    2222
   923.0  4.0320 34.4119   125.4      22    2222
   925.0  4.0270 34.4137   124.6      24    2222
   927.0  4.0169 34.4155   124.2      24    2222
   929.0  4.0140 34.4165   123.6      17    2222
   931.0  4.0109 34.4177   123.3      18    2222
   933.0  4.0068 34.4188   122.9      34    2222
   935.0  4.0043 34.4208   122.3      29    2222
   937.0  3.9958 34.4234   121.7      22    2222
   939.0  3.9916 34.4222   121.5      30    2222
   941.0  3.9870 34.4244   120.9      27    2222
   943.0  3.9820 34.4240   120.5      32    2222
   945.0  3.9647 34.4310   120.4      11    2222
   947.0  3.9630 34.4267   120.2      22    2222
   949.0  3.9711 34.4289   119.9      36    2222
   951.0  3.9571 34.4335   119.5      21    2222
   953.0  3.9552 34.4315   118.9      17    2222
   955.0  3.9581 34.4334   117.6      21    2222
   957.0  3.9476 34.4356   116.7      38    2222
   959.0  3.9211 34.4340   116.1      27    2222
   961.0  3.9240 34.4336   116.5      16    2222
   963.0  3.9213 34.4349   116.7      17    2222
   965.0  3.9177 34.4356   117.6      27    2222
   967.0  3.9099 34.4361   117.0      29    2222
   969.0  3.8987 34.4377   116.5      30    2222
   971.0  3.8987 34.4399   116.5      24    2222
   973.0  3.8903 34.4415   115.9      29    2222
   975.0  3.8770 34.4438   115.2      28    2222
   977.0  3.8659 34.4435   114.7      26    2222
   979.0  3.8609 34.4438   114.6      30    2222
   981.0  3.8568 34.4453   114.5      35    2222
   983.0  3.8568 34.4477   114.1      20    2222
   985.0  3.8508 34.4489   113.7      20    2222
   987.0  3.8471 34.4488   113.2      23    2222
   989.0  3.8454 34.4490   112.6      50    2222
   991.0  3.8357 34.4513   112.2      14    2222
   993.0  3.8336 34.4508   112.5      12    2222
   995.0  3.8315 34.4510   112.1      15    2222
   997.0  3.8304 34.4519   112.4      22    2222
   999.0  3.8311 34.4521   112.2      49    2222
  1001.0  3.8276 34.4543   111.8      19    2222
  1003.0  3.8185 34.4566   111.7      16    2222
  1005.0  3.8092 34.4562   111.1      19    2222
  1007.0  3.8004 34.4561   111.0      38    2222
  1009.0  3.7973 34.4562   111.0      19    2222
  1011.0  3.7958 34.4569   111.2      19    2222
  1013.0  3.7940 34.4572   110.7      23    2222
  1015.0  3.7928 34.4574   111.0      26    2222
  1017.0  3.7885 34.4577   110.8      36    2222
  1019.0  3.7737 34.4596   110.5      22    2222
  1021.0  3.7651 34.4591   110.7      24    2222
  1023.0  3.7589 34.4597   110.7      25    2222
